Velence,Hungarian town
Continental,company
Stephen King,writer
Dan Brown,writer
Frankfurt am Main,German city
Regensburg,German city
Budapest,Hungarian city
Robert De Niro,actor
Morgan Freeman,actor
Ludovico Einaudi,Italian pianist
David Nevue,pianist
Robert De Niro,Actor
Jack Nicholson,Actor
Tom Hanks,Actor
Marlon Brando,Actor
Leonardo DiCaprio,Actor
Humphrey Bogart,Actor
Johnny Depp,Actor
Al Pacino,Actor
Denzel Washington,Actor
Laurence Olivier,Actor
Brad Pitt,Actor
Daniel Day-Lewis,Actor
Tom Cruise,Actor
Cary Grant,Actor
Dustin Hoffman,Actor
Clark Gable,Actor
Sean Penn,Actor
Christian Bale,Actor
Gregory Peck,Actor
Harrison Ford,Actor
Spencer Tracy,Actor
George Clooney,Actor
Charlton Heston,Actor
Anthony Hopkins,Actor
Russell Crowe,Actor
Katharine Hepburn,Actress
Meryl Streep,Actress
Ingrid Bergman,Actress
Marilyn Monroe,Actress
Jennifer Lawrence,Actress
Kate Winslet,Actress
Elizabeth Taylor,Actress
Cate Blanchett,Actress
Audrey Hepburn,Actress
Helen Mirren,Actress
Bette Davis,Actress
Nicole Kidman,Actress
Sandra Bullock,Actress
Natalie Portman,Actress
Jodie Foster,Actress
Judi Dench,Actress
Amy Adams,Actress
Julia Roberts,Actress
Emma Thompson,Actress
Diane Keaton,Actress
Grace Kelly,Actress
Shirley MacLaine,Actress
Reese Witherspoon,Actress
Charlize Theron,Actress
Judy Garland,Actress
John Wayne,Actor
Sidney Poitier,Actor
Paul Newman,Actor
Matt Damon,Actor
Robert Duvall,Actor
James Dean,Actor
Kirk Douglas,Actor
Henry Fonda,Actor
Robin Williams,Actor
Orson Welles,Actor
Christoph Waltz,Actor
Heath Ledger,Actor
Sean Connery,Actor
Kevin Spacey,Actor
Gene Hackman,Actor
Liam Neeson,Actor
Edward Norton,Actor
Bruce Willis,Actor
Gary Cooper,Actor
Philip Seymour Hoffman,Actor
Robert Redford,Actor
Ralph Fiennes,Actor
Joaquin Phoenix,Actor
Will Smith,Actor
Steve McQueen,Actor
Vivien Leigh,Actress
Angelina Jolie,Actress
Anne Hathaway,Actress
Maggie Smith,Actress
Olivia de Havilland,Actress
Barbara Stanwyck,Actress
Joan Fontaine,Actress
Greer Garson,Actress
Faye Dunaway,Actress
Susan Hayward,Actress
Ellen Burstyn,Actress
Jane Wyman,Actress
Sophia Loren,Actress
Joan Crawford,Actress
Kathy Bates,Actress
Julie Andrews,Actress
Marion Cotillard,Actress
Deborah Kerr,Actress
Sissy Spacek,Actress
Susan Sarandon,Actress
Luise Rainer,Actress
Glenn Close,Actress
Doris Day,Actress
Natalie Wood,Actress
Jane Fonda,Actress
Jeff Bridges,Actor
Chiwetel Ejiofor,Actor
Ben Kingsley,Actor
Tommy Lee Jones,Actor
Samuel L. Jackson,Actor
Jack Lemmon,Actor
Joe Pesci,Actor
Christopher Plummer,Actor
George C. Scott,Actor
Morgan Freeman,Actor
Christopher Walken,Actor
John Travolta,Actor
James Stewart,Actor
Matthew McConaughey,Actor
Peter O'Toole,Actor
James Cagney,Actor
Ian McKellen,Actor
John Cusack,Actor
Bill Murray,Actor
Robert Downey Jr.,Actor
Nicolas Cage,Actor
Gene Wilder,Actor
Kevin Costner,Actor
Donald Sutherland,Actor
Bruce Dern,Actor
Ava Gardner,Actress
Jennifer Jones,Actress
Sally Field,Actress
Greta Garbo,Actress
Holly Hunter,Actress
Hilary Swank,Actress
Claudette Colbert,Actress
Diane Lane,Actress
Jessica Lange,Actress
Gloria Swanson,Actress
Lauren Bacall,Actress
Frances McDormand,Actress
Norma Shearer,Actress
Bette Midler,Self
Mary Tyler Moore,Actress
Anna Magnani,Actress
Halle Berry,Actress
Sharon Stone,Actress
Kim Basinger,Actress
Glenda Jackson,Actress
Donna Reed,Actress
Geena Davis,Actress
Demi Moore,Actress
Michelle Pfeiffer,Actress
Liza Minnelli,Actress
Charles Chaplin,Writer
Peter Sellers,Actor
Woody Allen,Writer
Jon Voight,Actor
Mel Gibson,Actor
Jim Carrey,Actor
Mark Wahlberg,Actor
Steve Martin,Writer
Javier Bardem,Actor
Tim Robbins,Actor
Arnold Schwarzenegger,Actor
Sylvester Stallone,Actor
Viggo Mortensen,Actor
Hugo Weaving,Actor
Christopher Lee,Actor
Geoffrey Rush,Actor
Alec Guinness,Actor
Richard Burton,Actor
Alec Baldwin,Actor
James Caan,Actor
Michael Douglas,Actor
Ben Stiller,Producer
Willem Dafoe,Actor
Ed Harris,Actor
Harvey Keitel,Actor
Drew Barrymore,Producer
Winona Ryder,Actress
Kathleen Turner,Actress
Uma Thurman,Actress
Hattie McDaniel,Actress
Rene Russo,Actress
Annette Bening,Actress
Sigourney Weaver,Actress
Barbra Streisand,Actress
Raquel Welch,Actress
Joanne Woodward,Actress
Shirley Booth,Actress
Mercedes McCambridge,Actress
